id,key,value,type
23367072,highway,secondary,regular
23367072,junction,roundabout,regular
23367072,lanes,2,regular
23367072,oneway,yes,regular
23367072,surface,paved,regular
23367099,highway,secondary_link,regular
23367099,lanes,4,regular
23367099,name,Jalan Kampus Unud,regular
23367099,oneway,-1,regular
23367099,surface,asphalt,regular
23367100,city,Jimbaran,addr
23367100,postcode,80362,addr
23367100,highway,tertiary,regular
23367100,lanes,2,regular
23367100,maxspeed,20,regular
23367100,name,Jl. Batur Raya,regular
23367100,oneway,yes,regular
23367100,surface,asphalt,regular
23367103,highway,unclassified,regular
23367103,lanes,1,regular
23367103,name,Giri Puspa,regular
23367103,surface,unpaved,regular
23367104,highway,unclassified,regular
23367104,lanes,1,regular
23367104,surface,unpaved,regular
23367106,created_by,Potlatch 0.9c,regular
23367106,highway,residential,regular
23367106,lanes,2,regular
23367106,surface,paved,regular
23367107,created_by,Potlatch 0.10b,regular
23367107,highway,unclassified,regular
23367107,lanes,1,regular
23367107,surface,unpaved,regular
23367109,created_by,Scarabeaus,regular
23367109,highway,unclassified,regular
23367109,lanes,1,regular
23367109,surface,unpaved,regular
23367110,highway,unclassified,regular
23367110,lanes,1,regular
23367110,surface,unpaved,regular
23367111,created_by,Scarabeaus,regular
23367111,highway,unclassified,regular
23367111,lanes,1,regular
23367111,surface,unpaved,regular
23367112,highway,unclassified,regular
23367112,lanes,1,regular
23367112,surface,unpaved,regular
23367113,highway,unclassified,regular
23367113,lanes,2,regular
23367113,surface,paved,regular
23367114,highway,unclassified,regular
23367114,lanes,1,regular
23367114,surface,unpaved,regular
23367115,created_by,Scarabeaus,regular
23367115,highway,unclassified,regular
23367115,lanes,1,regular
23367115,surface,unpaved,regular
23367116,highway,unclassified,regular
23367116,lanes,1,regular
23367116,name,Jl. Taman Putri,regular
23367116,surface,unpaved,regular
23367118,highway,unclassified,regular
23367118,lanes,2,regular
23367118,surface,paved,regular
23367119,created_by,Scarabeaus,regular
23367119,highway,unclassified,regular
23367119,lanes,1,regular
23367119,surface,unpaved,regular
23367121,created_by,Potlatch 0.10b,regular
23367121,highway,unclassified,regular
23367121,lanes,1,regular
23367121,surface,unpaved,regular
23367122,highway,secondary,regular
23367122,lanes,2,regular
23367122,name,Jalan Pratama Raya,regular
23367122,surface,paved,regular
23367124,highway,secondary,regular
23367124,lanes,2,regular
23367124,oneway,yes,regular
23367124,surface,paved,regular
23367125,highway,secondary,regular
23367125,lanes,2,regular
23367125,oneway,yes,regular
23367125,surface,paved,regular
23367126,highway,secondary,regular
23367126,lanes,2,regular
23367126,oneway,yes,regular
23367126,surface,paved,regular
23367127,highway,secondary,regular
23367127,lanes,2,regular
23367127,oneway,yes,regular
23367127,surface,paved,regular
23367128,highway,secondary,regular
23367128,lanes,4,regular
23367128,surface,paved,regular
23367129,highway,secondary,regular
23367129,lanes,4,regular
23367129,oneway,yes,regular
23367129,surface,paved,regular
23367130,created_by,Scarabeaus,regular
23367130,highway,residential,regular
23367130,lanes,2,regular
23367130,surface,paved,regular
23367131,highway,service,regular
23367131,lanes,2,regular
23367131,surface,paved,regular
23367133,highway,secondary,regular
23367133,lanes,2,regular
23367133,surface,paved,regular
23367137,highway,secondary,regular
23367137,lanes,2,regular
23367137,surface,paved,regular
23367160,highway,unclassified,regular
23367160,lanes,1,regular
23367160,surface,unpaved,regular
23367164,created_by,Scarabeaus,regular
23367164,highway,unclassified,regular
23367164,lanes,1,regular
23367164,surface,unpaved,regular
23367165,created_by,Scarabeaus,regular
23367165,highway,unclassified,regular
23367165,lanes,1,regular
23367165,surface,unpaved,regular
23367166,highway,unclassified,regular
23367166,lanes,1,regular
23367166,surface,unpaved,regular
23367167,highway,unclassified,regular
23367167,lanes,1,regular
23367167,surface,unpaved,regular
23367168,highway,unclassified,regular
23367168,lanes,1,regular
23367168,surface,unpaved,regular
23367169,highway,track,regular
23367169,surface,unpaved,regular
23367170,highway,track,regular
23367170,surface,unpaved,regular
23367171,created_by,Scarabeaus,regular
23367171,highway,track,regular
23367171,surface,unpaved,regular
23367172,highway,residential,regular
23367172,lanes,1,regular
23367172,surface,paved,regular
23367173,highway,unclassified,regular
23367173,lanes,1,regular
23367173,surface,paved,regular
23367174,created_by,Scarabeaus,regular
23367174,highway,unclassified,regular
23367174,lanes,1,regular
23367174,surface,paved,regular
23367175,created_by,Scarabeaus,regular
23367175,highway,unclassified,regular
23367175,lanes,1,regular
23367175,surface,paved,regular
23367176,highway,unclassified,regular
23367176,lanes,1,regular
23367176,surface,unpaved,regular
23367177,created_by,Scarabeaus,regular
23367177,highway,track,regular
23367177,surface,unpaved,regular
23367178,created_by,Scarabeaus,regular
23367178,highway,track,regular
23367178,surface,unpaved,regular
23367179,highway,track,regular
23367179,surface,cobblestone,regular
